,Households with Snap,Total Households,GEOID,Pct_hh_snap,No Health Under 19,No Health 19to34,No Health 35to64,No Health 65 plus,Total Population,No Health,Pct_noHealthInsurance,Income Inequality (GINI Index),Under 25,Total 25 to 44,45 to 64,Population with Internet Access,Pct_internet,Rent Occupied housing units,rent_combined,pct_rentBurdenend,Population with Access to Transportation,Pct_transportAccess,Population with Access to Devices,Pct_deviceAccess,White Alone Population,Pct_minority,Civilian Force Unemployed,Total Civilian Force,Unemployment Rate,Male 18 to 24,HS Grad Male 18 to 24,Female 18 to 24,HS Grad Female 18 to 24,HS Grad,18to24 Population,Pct_HsGrad,Pct_NonHsGrad,Non Native,Pct_nonNative,Pct_hh_snap_binned,Pct_hh_snap_bin_range,Pct_noHealthInsurance_binned,Pct_noHealthInsurance_bin_range,Income Inequality (GINI Index)_binned,Income Inequality (GINI Index)_bin_range,Pct_internet_binned,Pct_internet_bin_range,pct_rentBurdenend_binned,pct_rentBurdenend_bin_range,Pct_transportAccess_binned,Pct_transportAccess_bin_range,Pct_deviceAccess_binned,Pct_deviceAccess_bin_range,Pct_minority_binned,Pct_minority_bin_range,Unemployment Rate_binned,Unemployment Rate_bin_range,Pct_HsGrad_binned,Pct_HsGrad_bin_range,Pct_NonHsGrad_binned,Pct_NonHsGrad_bin_range,Pct_nonNative_binned,Pct_nonNative_bin_range
26,78,1400,10001042204,5.57,71,60,172,0,4416,303,6.86,0.3276,122683.0,133333.0,58008.0,1287,29.14,148,40,27.03,1878,42.53,81,1.83,2919,33.9,136,2004,6.79,98,11,299,229,240,397,60.45,39.55,968,21.92,1.0,4.29-8.52,2.0,4.75-7.69,0.0,0.28-0.37,0.0,0.0-32.09,0.0,0.0-32.08,1.0,42.22-46.67,0.0,0.0-3.02,1.0,18.46-36.0,2.0,4.62-7.35,3.0,52.22-100.0,0.0,0.0-47.78,1.0,11.33-24.5
27,400,1019,10001042205,39.25,0,90,24,0,2739,114,4.16,0.4191,55436.0,56080.0,77333.0,943,34.43,329,274,83.28,713,26.03,248,9.05,1238,54.8,216,841,25.68,54,16,110,1,17,164,10.37,89.63,1148,41.91,3.0,15.79-47.28,1.0,2.58-4.75,2.0,0.41-0.45,1.0,32.09-35.78,3.0,56.92-100.0,0.0,16.51-42.22,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,0.0,0.0-21.04,3.0,78.96-100.0,3.0,39.14-94.26
28,52,1158,10001042206,4.49,0,62,98,0,2600,160,6.15,0.3499,104911.0,67241.0,95962.0,1143,43.96,30,0,0.0,1230,47.31,120,4.62,1770,31.92,93,1255,7.41,52,21,23,0,21,75,28.0,72.0,652,25.08,1.0,4.29-8.52,2.0,4.75-7.69,0.0,0.28-0.37,3.0,40.2-59.88,0.0,0.0-32.08,2.0,46.67-51.37,1.0,3.02-5.27,1.0,18.46-36.0,3.0,7.35-25.68,1.0,21.04-35.8,2.0,64.2-78.96,2.0,24.5-39.14
29,154,779,10001042207,19.77,6,96,4,1,2606,107,4.11,0.3619,125607.0,109091.0,62589.0,655,25.13,152,94,61.84,1076,41.29,53,2.03,1861,28.59,79,1154,6.85,270,27,85,25,52,355,14.65,85.35,326,12.51,3.0,15.79-47.28,1.0,2.58-4.75,0.0,0.28-0.37,0.0,0.0-32.09,3.0,56.92-100.0,0.0,16.51-42.22,0.0,0.0-3.02,1.0,18.46-36.0,2.0,4.62-7.35,0.0,0.0-21.04,3.0,78.96-100.0,1.0,11.33-24.5
30,236,1641,10001042208,14.38,0,100,99,0,4028,199,4.94,0.4623,120241.0,125013.0,51359.0,1488,36.94,169,85,50.3,2051,50.92,462,11.47,2759,31.5,148,2205,6.71,43,0,70,70,70,113,61.95,38.05,1006,24.98,2.0,8.52-15.79,2.0,4.75-7.69,3.0,0.45-0.59,2.0,35.78-40.2,2.0,44.84-56.92,2.0,46.67-51.37,3.0,7.3-25.24,1.0,18.46-36.0,2.0,4.62-7.35,3.0,52.22-100.0,0.0,0.0-47.78,2.0,24.5-39.14
31,257,2098,10001042500,12.25,8,87,215,72,4325,382,8.83,0.3802,40697.0,54637.0,38385.0,1568,36.25,1523,644,42.28,1782,41.2,273,6.31,1971,54.43,111,1873,5.93,215,164,95,65,229,310,73.87,26.13,1932,44.67,2.0,8.52-15.79,3.0,7.69-30.05,1.0,0.37-0.41,2.0,35.78-40.2,1.0,32.08-44.84,0.0,16.51-42.22,2.0,5.27-7.3,3.0,51.87-97.75,2.0,4.62-7.35,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
32,60,788,10001042801,7.61,43,49,47,0,1913,139,7.27,0.3309,,46742.0,89071.0,727,38.0,81,28,34.57,867,45.32,20,1.05,1782,6.85,21,873,2.41,18,10,75,60,70,93,75.27,24.73,125,6.53,1.0,4.29-8.52,2.0,4.75-7.69,0.0,0.28-0.37,2.0,35.78-40.2,1.0,32.08-44.84,1.0,42.22-46.67,0.0,0.0-3.02,0.0,1.59-18.46,0.0,0.0-2.6,3.0,52.22-100.0,0.0,0.0-47.78,0.0,0.78-11.33
33,258,2282,10001042802,11.31,4,5,226,3,5746,238,4.14,0.3534,82935.0,86250.0,59353.0,1980,34.46,535,310,57.94,2639,45.93,281,4.89,4548,20.85,49,2739,1.79,34,9,268,90,99,302,32.78,67.22,918,15.98,2.0,8.52-15.79,1.0,2.58-4.75,0.0,0.28-0.37,1.0,32.09-35.78,3.0,56.92-100.0,1.0,42.22-46.67,1.0,3.02-5.27,1.0,18.46-36.0,0.0,0.0-2.6,1.0,21.04-35.8,2.0,64.2-78.96,1.0,11.33-24.5
34,307,1873,10001042900,16.39,269,118,169,0,5385,556,10.32,0.4335,88958.0,86688.0,54261.0,1581,29.36,296,33,11.15,2352,43.68,263,4.88,4558,15.36,84,2484,3.38,327,183,369,158,341,696,48.99,51.01,609,11.31,3.0,15.79-47.28,3.0,7.69-30.05,2.0,0.41-0.45,0.0,0.0-32.09,0.0,0.0-32.08,1.0,42.22-46.67,1.0,3.02-5.27,0.0,1.59-18.46,1.0,2.6-4.62,2.0,35.8-52.22,1.0,47.78-64.2,0.0,0.78-11.33
35,161,2151,10001043000,7.48,6,124,110,0,5602,240,4.28,0.3598,81750.0,59327.0,41483.0,1890,33.74,678,371,54.72,2586,46.16,281,5.02,3965,29.22,155,2840,5.46,312,21,91,26,47,403,11.66,88.34,1333,23.8,1.0,4.29-8.52,1.0,2.58-4.75,0.0,0.28-0.37,1.0,32.09-35.78,2.0,44.84-56.92,1.0,42.22-46.67,1.0,3.02-5.27,1.0,18.46-36.0,2.0,4.62-7.35,0.0,0.0-21.04,3.0,78.96-100.0,1.0,11.33-24.5
36,97,1072,10001043100,9.05,9,14,44,0,2260,67,2.96,0.4256,67955.0,100307.0,,943,41.73,336,46,13.69,1353,59.87,259,11.46,2065,8.63,103,1461,7.05,143,107,100,87,194,243,79.84,20.16,180,7.96,2.0,8.52-15.79,1.0,2.58-4.75,2.0,0.41-0.45,3.0,40.2-59.88,0.0,0.0-32.08,3.0,51.37-100.0,3.0,7.3-25.24,0.0,1.59-18.46,2.0,4.62-7.35,3.0,52.22-100.0,0.0,0.0-47.78,0.0,0.78-11.33
37,279,1626,10001043202,17.16,4,40,83,0,3748,127,3.39,0.4111,93750.0,57458.0,43833.0,1435,38.29,308,151,49.03,1685,44.96,276,7.36,3224,13.98,24,1741,1.38,127,43,165,26,69,292,23.63,76.37,367,9.79,3.0,15.79-47.28,1.0,2.58-4.75,2.0,0.41-0.45,2.0,35.78-40.2,2.0,44.84-56.92,1.0,42.22-46.67,3.0,7.3-25.24,0.0,1.59-18.46,0.0,0.0-2.6,1.0,21.04-35.8,2.0,64.2-78.96,0.0,0.78-11.33
38,290,1545,10001043300,18.77,13,102,50,0,6276,165,2.63,0.4201,44931.0,43438.0,50568.0,1338,21.32,878,516,58.77,2395,38.16,238,3.79,1595,74.59,120,2369,5.07,1226,86,2016,75,161,3242,4.97,95.03,4199,66.91,3.0,15.79-47.28,1.0,2.58-4.75,2.0,0.41-0.45,0.0,0.0-32.09,3.0,56.92-100.0,0.0,16.51-42.22,1.0,3.02-5.27,3.0,51.87-97.75,2.0,4.62-7.35,0.0,0.0-21.04,3.0,78.96-100.0,3.0,39.14-94.26
39,302,2197,10001043400,13.75,0,73,114,0,5424,187,3.45,0.3809,71250.0,106484.0,64600.0,1969,36.3,433,166,38.34,2401,44.27,270,4.98,3696,31.86,177,2615,6.77,174,156,199,107,263,373,70.51,29.49,969,17.87,2.0,8.52-15.79,1.0,2.58-4.75,1.0,0.37-0.41,2.0,35.78-40.2,1.0,32.08-44.84,1.0,42.22-46.67,1.0,3.02-5.27,1.0,18.46-36.0,2.0,4.62-7.35,3.0,52.22-100.0,0.0,0.0-47.78,1.0,11.33-24.5
40,0,0,10001980000,,0,0,0,0,64,0,0.0,,,,,0,0.0,0,0,,64,100.0,0,0.0,44,31.25,0,0,,50,34,8,1,35,58,60.34,39.66,15,23.44,,,0.0,0.0-2.58,,,0.0,0.0-32.09,,,3.0,51.37-100.0,0.0,0.0-3.02,1.0,18.46-36.0,,,3.0,52.22-100.0,0.0,0.0-47.78,1.0,11.33-24.5
41,0,0,10001990000,,0,0,0,0,0,0,,,,,,0,,0,0,,0,,0,,0,,0,0,,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
42,155,2185,10003000200,7.09,24,62,36,0,4738,122,2.57,0.5123,65461.0,69318.0,60507.0,2051,43.29,689,459,66.62,2801,59.12,603,12.73,1379,70.89,148,3045,4.86,111,0,77,0,0,188,0.0,100.0,3086,65.13,1.0,4.29-8.52,0.0,0.0-2.58,3.0,0.45-0.59,3.0,40.2-59.88,3.0,56.92-100.0,3.0,51.37-100.0,3.0,7.3-25.24,3.0,51.87-97.75,2.0,4.62-7.35,0.0,0.0-21.04,3.0,78.96-100.0,3.0,39.14-94.26
43,170,1276,10003000300,13.32,61,100,134,0,3616,295,8.16,0.4151,42323.0,56949.0,,1089,30.12,481,334,69.44,1556,43.03,223,6.17,522,85.56,160,1752,9.13,48,0,146,81,81,194,41.75,58.25,2750,76.05,2.0,8.52-15.79,3.0,7.69-30.05,2.0,0.41-0.45,0.0,0.0-32.09,3.0,56.92-100.0,1.0,42.22-46.67,2.0,5.27-7.3,3.0,51.87-97.75,3.0,7.35-25.68,2.0,35.8-52.22,1.0,47.78-64.2,3.0,39.14-94.26
44,292,1503,10003000400,19.43,39,81,24,0,2953,144,4.88,0.5843,116053.0,38833.0,17604.0,1297,43.92,837,482,57.59,1448,49.03,491,16.63,1331,54.93,118,1574,7.5,107,81,146,120,201,253,79.45,20.55,1271,43.04,3.0,15.79-47.28,2.0,4.75-7.69,3.0,0.45-0.59,3.0,40.2-59.88,3.0,56.92-100.0,2.0,46.67-51.37,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
45,381,1377,10003000500,27.67,0,252,45,0,3605,297,8.24,0.3545,77930.0,93562.0,42031.0,897,24.88,775,254,32.77,1940,53.81,555,15.4,211,94.15,88,2048,4.3,165,87,69,54,141,234,60.26,39.74,2997,83.13,3.0,15.79-47.28,3.0,7.69-30.05,0.0,0.28-0.37,0.0,0.0-32.09,1.0,32.08-44.84,3.0,51.37-100.0,3.0,7.3-25.24,3.0,51.87-97.75,1.0,2.6-4.62,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
46,316,922,10003000601,34.27,0,66,45,0,2892,111,3.84,0.5018,29875.0,61820.0,52308.0,727,25.14,506,267,52.77,1055,36.48,186,6.43,104,96.4,258,1348,19.14,67,54,225,92,146,292,50.0,50.0,2726,94.26,3.0,15.79-47.28,1.0,2.58-4.75,3.0,0.45-0.59,0.0,0.0-32.09,2.0,44.84-56.92,0.0,16.51-42.22,2.0,5.27-7.3,3.0,51.87-97.75,3.0,7.35-25.68,2.0,35.8-52.22,1.0,47.78-64.2,3.0,39.14-94.26
47,231,1167,10003000602,19.79,0,4,193,0,2461,197,8.0,0.5088,31118.0,27292.0,85938.0,814,33.08,760,196,25.79,1050,42.67,491,19.95,223,90.94,306,1392,21.98,0,0,94,67,67,94,71.28,28.72,2047,83.18,3.0,15.79-47.28,3.0,7.69-30.05,3.0,0.45-0.59,1.0,32.09-35.78,0.0,0.0-32.08,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
48,333,938,10003000900,35.5,0,32,77,0,2397,109,4.55,0.4516,48413.0,40813.0,,784,32.71,610,315,51.64,1016,42.39,306,12.77,54,97.75,64,1089,5.88,119,105,113,91,196,232,84.48,15.52,2147,89.57,3.0,15.79-47.28,1.0,2.58-4.75,3.0,0.45-0.59,1.0,32.09-35.78,2.0,44.84-56.92,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,2.0,4.62-7.35,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
